StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q9_1,Q10,Q11,Q12,Q13
6/1/2022 14:44,6/1/2022 14:53,IP Address,redacted,100,568,TRUE,6/1/2022 14:53,redacted,,,,,redacted,redacted,anonymous,EN,TA 23,redacted,4,MATH:1005 - College Algebra,5,4,2,1,3,MATH:1350 - Quantitative Reasoning for Business,MATH:1440 - Mathematics for the Biological Sciences,MATH:1005 - College Algebra,MATH:1460 - Calculus for the Biological Sciences,MATH:1020 - Elementary Functions,Course preferences,,,,,,,,,,,,,,,No,Neither,"I'm not planning to take any course this semester, that's why I didn't mark any time above."
6/1/2022 14:41,6/1/2022 14:53,IP Address,redacted,100,715,TRUE,6/1/2022 14:53,redacted,,,,,redacted,redacted,anonymous,EN,TA 21,redacted,3,I have not taught any of these.,1,2,3,4,5,MATH:5200 - Introduction to Analysis I,MATH:4010 - Basic Analysis,MATH:3770 - Fundamental Properties Spaces/Funct  I,MATH:3720 - Introduction to Abstract Algebra I,MATH:1860 - Calculus II,Course preferences,,,,"Monday,Wednesday,Friday","Tuesday,Thursday","Monday,Tuesday,Wednesday,Thursday,Friday","Tuesday,Thursday",Tuesday,,,Monday,,"MATH:6000 - Categories and Modules,MATH:6400 - Algebraic Topology,MATH:6500 - Differential Geometry I,MATH:7030 - Topics in Algebra,MATH:7290 - Seminar: Operator Theory",,Yes,Math Tutorial Lab Hours,
6/1/2022 14:45,6/1/2022 14:56,IP Address,redacted,100,651,TRUE,6/1/2022 14:56,redacted,,,,,redacted,redacted,anonymous,EN,TA 37,redacted,3,I have not taught any of these.,4,3,2,1,5,MATH:1460 - Calculus for the Biological Sciences,MATH:1850 - Calculus I,MATH:1860 - Calculus II,MATH:1440 - Mathematics for the Biological Sciences,MATH:1550 - Engineer Math I Single Variable Calculus,Course preferences,,,,"Monday,Wednesday,Friday",Thursday,,,,,,,,MATH:5400 - Fundamental Groups and Covering Spaces,AMCS:7990,No,Extra Grading,I would really like to *not* lead a class/discussion past a 4pm start time because I lead discussion from 5pm-5:50pm last semester. Thank you!
6/1/2022 14:40,6/1/2022 14:56,IP Address,redacted,100,945,TRUE,6/1/2022 14:56,redacted,,,,,redacted,redacted,anonymous,EN,TA 66,redacted,1,I have not taught any of these.,5,4,3,1,2,MATH:4090 - A Rigorous Intro to Abstract Algebra,MATH:4020 - Basic Abstract Algebra,MATH:1850 - Calculus I,MATH:1860 - Calculus II,MATH:4010 - Basic Analysis,Course preferences,,,,"Monday,Wednesday,Friday","Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Wednesday,Thursday,Friday","Tuesday,Thursday","Tuesday,Thursday","Monday,Wednesday,Thursday,Friday","Monday,Wednesday,Thursday,Friday","Thursday,Friday","Thursday,Friday","MATH:5000 - Abstract Algebra I,MATH:5200 - Introduction to Analysis I,MATH:5400 - Fundamental Groups and Covering Spaces,MATH:5900 - First-Year Graduate Seminar,MATH:6000 - Categories and Modules,MATH:6200 - Analysis I,MATH:6400 - Algebraic Topology,MATH:7470 - Seminar: Topology",,No,Math Tutorial Lab Hours,
6/1/2022 14:55,6/1/2022 15:05,IP Address,redacted,100,631,TRUE,6/1/2022 15:05,redacted,,,,,redacted,redacted,anonymous,EN,TA 44,redacted,3,I have not taught any of these.,5,2,1,3,4,MATH:1860 - Calculus II,MATH:1850 - Calculus I,MATH:1460 - Calculus for the Biological Sciences,MATH:1440 - Mathematics for the Biological Sciences,MATH:1350 - Quantitative Reasoning for Business,Course preferences,"Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Wednesday,Friday","Tuesday,Thursday","Tuesday,Thursday","Monday,Tuesday,Wednesday,Thursday,Friday","Tuesday,Thursday","Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Thursday,Friday","Monday,Tuesday,Thursday,Friday","MATH:5750 - Mathematical Biology I,MATH:6700 - Partial Differential Equations I,MATH:7770 - Seminar: Partial Differential Equations",MATH:7990,No,Math Tutorial Lab Hours,I'd like to work Math Platoon in place of or in addition to the Math Tutorial Lab.
6/1/2022 14:43,6/1/2022 15:17,IP Address,redacted,100,2022,TRUE,6/1/2022 15:17,redacted,,,,,redacted,redacted,anonymous,EN,TA 62,redacted,1,"MATH:0100 - Basic Algebra I,MATH:1005 - College Algebra,MATH:1010 - Trigonometry,MATH:1020 - Elementary Functions",1,5,2,4,3,MATH:1460 - Calculus for the Biological Sciences,MATH:1005 - College Algebra,MATH:1020 - Elementary Functions,MATH:1550 - Engineer Math I Single Variable Calculus,MATH:1010 - Trigonometry,I care about these equally,,,"Monday,Tuesday,Wednesday,Friday",,,,,"Monday,Wednesday,Friday","Tuesday,Thursday","Monday,Wednesday,Friday",Friday,,"MATH:5200 - Introduction to Analysis I,MATH:5600 - Nonlinear Dynamics with Numerical Methds,MATH:5800 - Numerical Methods I,MATH:5900 - First-Year Graduate Seminar",,No,Math Tutorial Lab Hours,
6/1/2022 14:35,6/1/2022 15:22,IP Address,redacted,100,2866,TRUE,6/1/2022 15:22,redacted,,,,,redacted,redacted,anonymous,EN,TA 36,redacted,3,MATH:1560 - Engineer Math II: Multivariable Calculus,3,1,2,4,5,MATH:1860 - Calculus II,MATH:1550 - Engineer Math I Single Variable Calculus,MATH:1850 - Calculus I,MATH:1460 - Calculus for the Biological Sciences,MATH:1560 - Engineer Math II: Multivariable Calculus,Time preferences,,"Monday,Wednesday,Friday",,"Monday,Wednesday,Friday",,,,,,,,,MATH:7830 - Topics in Applied Mathematics,STAT 4100,Yes,Math Tutorial Lab Hours,
6/1/2022 15:24,6/1/2022 15:30,IP Address,redacted,100,341,TRUE,6/1/2022 15:30,redacted,,,,,redacted,redacted,anonymous,EN,TA 22,redacted,2,I have not taught any of these.,3,5,4,2,1,MATH:1850 - Calculus I,MATH:1860 - Calculus II,MATH:1550 - Engineer Math I Single Variable Calculus,MATH:1005 - College Algebra,MATH:1560 - Engineer Math II: Multivariable Calculus,Course preferences,,,"Monday,Tuesday,Wednesday,Friday","Monday,Wednesday,Friday",,,,,,"Monday,Wednesday,Friday",,,"MATH:5800 - Numerical Methods I,MATH:6200 - Analysis I,MATH:6700 - Partial Differential Equations I",,No,Math Tutorial Lab Hours,
6/1/2022 15:19,6/1/2022 15:32,IP Address,redacted,100,775,TRUE,6/1/2022 15:32,redacted,,,,,redacted,redacted,anonymous,EN,TA 03,redacted,4,MATH:1560 - Engineer Math II: Multivariable Calculus,5,4,3,2,1,MATH:1550 - Engineer Math I Single Variable Calculus,MATH:1440 - Mathematics for the Biological Sciences,MATH:1350 - Quantitative Reasoning for Business,MATH:1850 - Calculus I,MATH:1005 - College Algebra,Course preferences,"Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Wednesday,Thursday,Friday",,"Monday,Wednesday,Friday",,,,,"Monday,Wednesday,Friday","Monday,Wednesday,Friday",,,"MATH:6200 - Analysis I,MATH:7830 - Topics in Applied Mathematics",,No,Neither,
6/1/2022 14:58,6/1/2022 16:04,IP Address,redacted,100,3938,TRUE,6/1/2022 16:04,redacted,,,,,redacted,redacted,anonymous,EN,TA 12,redacted,4,MATH:1560 - Engineer Math II: Multivariable Calculus,3,5,4,2,1,MATH:5800 - Numerical Methods I,MATH:1120 - Logic of Arithmetic,MATH:3770 - Fundamental Properties Spaces/Funct  I,MATH:4010 - Basic Analysis,MATH:1860 - Calculus II,Course preferences,,,,,"Tuesday,Thursday","Tuesday,Thursday",,,,,,,,PHYS:4731,No,Extra Grading,
6/1/2022 15:52,6/1/2022 16:04,IP Address,redacted,100,737,TRUE,6/1/2022 16:04,redacted,,,,,redacted,redacted,anonymous,EN,TA 35,redacted,6,MATH:1560 - Engineer Math II: Multivariable Calculus,5,2,1,3,4,MATH:1460 - Calculus for the Biological Sciences,MATH:1860 - Calculus II,MATH:1350 - Quantitative Reasoning for Business,MATH:1550 - Engineer Math I Single Variable Calculus,MATH:1440 - Mathematics for the Biological Sciences,I care about these equally,Wednesday,Wednesday,Wednesday,Wednesday,Wednesday,Wednesday,Wednesday,Wednesday,Wednesday,Wednesday,Wednesday,,MATH:7670 - Seminar: Mathematical Biology,,No,Extra Grading,"Since sixth year students won't be funded during the Spring semester, I need to devote as much time as possible to finishing my dissertation by the end of the fall semester. I would appreciate that being taken into account when giving out assignments, since certain courses require a greater time commitment than others (eg the standalone courses).

In addition, I'll be attending lab meetings and group meetings in the biomedical research center on Wednesdays, so I won't be available then."
6/1/2022 14:50,6/1/2022 16:17,IP Address,redacted,100,5169,TRUE,6/1/2022 16:17,redacted,,,,,redacted,redacted,anonymous,EN,TA 30,redacted,4,MATH:1005 - College Algebra,5,4,1,2,3,MATH:1460 - Calculus for the Biological Sciences,MATH:1550 - Engineer Math I Single Variable Calculus,MATH:1850 - Calculus I,MATH:1560 - Engineer Math II: Multivariable Calculus,MATH:1440 - Mathematics for the Biological Sciences,I care about these equally,"Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Tuesday,Wednesday,Thursday,Friday","Monday,Wednesday,Friday","Monday,Wednesday,Friday","Monday,Wednesday,Friday","Monday,Wednesday,Friday","Monday,Wednesday,Friday","Monday,Wednesday,Friday","Monday,Wednesday,Friday","Monday,Wednesday,Friday",,"MATH:6200 - Analysis I,MATH:6700 - Partial Differential Equations I,MATH:7670 - Seminar: Mathematical Biology",,No,Math Tutorial Lab Hours,
6/1/2022 14:31,6/1/2022 16:20,IP Address,redacted,100,6534,TRUE,6/1/2022 16:20,redacted,,,,,redacted,redacted,anonymous,EN,TA 43,redacted,2,I have not taught any of these.,5,3,2,1,4,MATH:1850 - Calculus I,MATH:1550 - Engineer Math I Single Variable Calculus,MATH:1350 - Quantitative Reasoning for Business,MATH:1005 - College Algebra,MATH:1440 - Mathematics for the Biological Sciences,Time preferences,,,"Monday,Tuesday,Wednesday,Friday","Monday,Wednesday,Friday","Monday,Tuesday,Wednesday,Friday","Monday,Tuesday,Wednesday,Friday",,,"Tuesday,Thursday","Tuesday,Thursday",,,"MATH:5000 - Abstract Algebra I,MATH:5800 - Numerical Methods I,MATH:6500 - Differential Geometry I,MATH:7470 - Seminar: Topology",,No,Math Tutorial Lab Hours,Ideally later times. 
6/1/2022 15:02,6/1/2022 16:46,IP Address,redacted,100,6240,TRUE,6/1/2022 16:46,redacted,,,,,redacted,redacted,anonymous,EN,TA 15,redacted,2,I have not taught any of these.,4,3,1,2,5,MATH:1850 - Calculus I,MATH:1560 - Engineer Math II: Multivariable Calculus,MATH:1550 - Engineer Math I Single Variable Calculus,MATH:1460 - Calculus for the Biological Sciences,MATH:1860 - Calculus II,Course preferences,,,,,,,,,,,,,"MATH:5000 - Abstract Algebra I,MATH:5600 - Nonlinear Dynamics with Numerical Methds,MATH:5800 - Numerical Methods I",,No,Math Tutorial Lab Hours,
6/1/2022 18:27,6/1/2022 18:41,IP Address,redacted,100,825,TRUE,6/1/2022 18:41,redacted,,,,,redacted,redacted,anonymous,EN,TA 08,redacted,2,MATH:1560 - Engineer Math II: Multivariable Calculus,5,1,2,3,4,MATH:1560 - Engineer Math II: Multivariable Calculus,MATH:1550 - Engineer Math I Single Variable Calculus,MATH:1440 - Mathematics for the Biological Sciences,MATH:1460 - Calculus for the Biological Sciences,MATH:1020 - Elementary Functions,I care about these equally,,,Thursday,"Monday,Wednesday,Friday",,,"Monday,Wednesday,Friday",,,"Monday,Wednesday,Friday",Wednesday,,"MATH:5750 - Mathematical Biology I,MATH:6200 - Analysis I,MATH:6700 - Partial Differential Equations I,MATH:7770 - Seminar: Partial Differential Equations",,No,Math Tutorial Lab Hours,
6/1/2022 16:35,6/1/2022 19:18,IP Address,redacted,100,9757,TRUE,6/1/2022 19:18,redacted,,,,,redacted,redacted,anonymous,EN,TA 55,redacted,1,I have not taught any of these.,1,2,4,5,3,MATH:1005 - College Algebra,MATH:0100 - Basic Algebra I,MATH:1850 - Calculus I,MATH:1860 - Calculus II,MATH:1120 - Logic of Arithmetic,Time preferences,,,,"Monday,Wednesday,Friday","Tuesday,Thursday","Monday,Wednesday,Friday",,,Thursday,"Monday,Wednesday,Friday",,,"MATH:5000 - Abstract Algebra I,MATH:5200 - Introduction to Analysis I,MATH:5400 - Fundamental Groups and Covering Spaces,MATH:5900 - First-Year Graduate Seminar",MUS:1020:0002,No,Both,"I have a lot more room on Tuesdays and Thursdays, and would not mind longer hours on those days."
6/1/2022 20:39,6/1/2022 20:49,IP Address,redacted,100,611,TRUE,6/1/2022 20:49,redacted,,,,,redacted,redacted,anonymous,EN,TA 34,redacted,5,I have not taught any of these.,5,1,3,2,4,MATH:5600 - Nonlinear Dynamics with Numerical Methods,MATH:5750 - Mathematical Biology I,MATH:1850 - Calculus I,MATH:1460 - Calculus for the Biological Sciences,MATH:1440 - Mathematics for the Biological Sciences,Course preferences,,,,,,,,,,,Monday,,,,No,Math Tutorial Lab Hours,"I worked 25 hours last Fall, so I hope to not have an overload schedule this Fall."
6/1/2022 20:19,6/1/2022 21:05,IP Address,redacted,100,2802,TRUE,6/1/2022 21:05,redacted,,,,,redacted,redacted,anonymous,EN,TA 40,redacted,6,MATH:1560 - Engineer Math II: Multivariable Calculus,4,1,2,3,5,MATH:1550 - Engineer Math I Single Variable Calculus,MATH:1120 - Logic of Arithmetic,MATH:3770 - Fundamental Properties Spaces/Funct  I,MATH:1850 - Calculus I,MATH:1010 - Trigonometry,Course preferences,,,"Tuesday,Thursday","Tuesday,Thursday","Tuesday,Thursday","Tuesday,Thursday",,,,,,,"MATH:7030 - Topics in Algebra,MATH:7200 - Functional Analysis I",,Yes,Math Tutorial Lab Hours,
6/2/2022 3:54,6/2/2022 4:06,IP Address,redacted,100,748,TRUE,6/2/2022 4:06,redacted,,,,,redacted,redacted,anonymous,EN,TA 60,redacted,1,I have not taught any of these.,2,1,3,4,5,MATH:1850 - Calculus I,MATH:1860 - Calculus II,MATH:1550 - Engineer Math I Single Variable Calculus,MATH:1560 - Engineer Math II: Multivariable Calculus,MATH:1005 - College Algebra,I care about these equally,,,,,Tuesday,"Monday,Wednesday,Friday",,"Monday,Wednesday,Friday","Tuesday,Thursday","Monday,Wednesday,Friday",Friday,"Monday,Tuesday,Wednesday,Thursday,Friday","MATH:5000 - Abstract Algebra I,MATH:5200 - Introduction to Analysis I,MATH:5600 - Nonlinear Dynamics with Numerical Methds,MATH:5900 - First-Year Graduate Seminar",,No,Math Tutorial Lab Hours,
